id_subscriptionMain,churn_reel,churn_pred,churn_pred_prob,box_name,subscriptions_type,submain_state,newsletter,age,total_sub,abonnement_consec,action_open,action_click,year_pass,month_pass,begin_year,begin_month,begin_day,end_year,end_month,end_day
29407,0,1,0.6,0.0,0.0034340513607614086,0.0002861709467301174,0.0,0.0,0.015167060176696221,0.01201917976266493,0.0002861709467301174,0.0002861709467301174,0.577779141448107,0.002861709467301174,0.5769206286079166,0.0011446837869204696,0.003147880414031291,0.5769206286079166,0.0034340513607614086,0.008871299348633638
18852,0,0,0.17,0.0,0.003441433415020156,0.0,0.0,0.0,0.0031546472971018097,0.0031546472971018097,0.00028678611791834634,0.0,0.5773004553696311,0.0022942889433467707,0.5770136692517128,0.0028678611791834634,0.0063092945942036195,0.5775872414875495,0.0028678611791834634,0.008890369655468737
21480,0,0,0.07,0.0,0.0034335238994233058,0.00028612699161860883,0.0,0.00028612699161860883,0.0017167619497116529,0.0017167619497116529,0.0,0.00028612699161860883,0.5774042690863527,0.0008583809748558264,0.577118142094734,0.0028612699161860884,0.005436412840753568,0.5774042690863527,0.0028612699161860884,0.008869936740176873
19061,1,1,0.65,0.0,0.004006494312478968,0.0002861781651770692,0.0,0.0002861781651770692,0.004578850642833107,0.004578850642833107,0.0002861781651770692,0.0,0.5775075373273256,0.0005723563303541384,0.5772213591621486,0.0002861781651770692,0.004578850642833107,0.5772213591621486,0.0005723563303541384,0.006009741468718453
21645,0,0,0.15,0.0,0.0034334675406650353,0.0002861222950554196,0.0,0.0002861222950554196,0.002002856065387937,0.002002856065387937,0.0,0.0002861222950554196,0.5773947914218368,0.0011444891802216783,0.5771086691267814,0.002861222950554196,0.0077253019664963295,0.5773947914218368,0.002861222950554196,0.008869791146718008
7786,0,1,0.84,0.0,0.0034398586430601313,0.0,0.0,0.0,0.0017199293215300656,0.0002866548869216776,0.0002866548869216776,0.0002866548869216776,0.5776095971471804,0.0008599646607650328,0.577036287373337,0.0020065842084517433,0.0031532037561384538,0.5773229422602587,0.0005733097738433552,0.008026336833806973
9587,0,1,0.7,0.0,0.003438677040485227,0.0,0.0,0.0,0.002005894940283049,0.002005894940283049,0.0002865564200404356,0.0002865564200404356,0.5774111863814777,0.0017193385202426135,0.5771246299614372,0.0014327821002021778,0.003438677040485227,0.5774111863814777,0.002005894940283049,0.008883249021253502
1196,0,0,0.07,0.0,0.004587101293086459,0.0002866938308179037,0.0,0.0,0.0022935506465432296,0.0011467753232716148,0.0002866938308179037,0.0,0.5782614567597119,0.0005733876616358074,0.5768279876056223,0.003153632138996941,0.0048737951239043635,0.5768279876056223,0.003440325969814845,0.008887508755355015
21493,0,0,0.01,0.0002861275303912679,0.003433530364695215,0.0002861275303912679,0.0,0.0002861275303912679,0.0011445101215650717,0.0011445101215650717,0.0002861275303912679,0.0002861275303912679,0.5774053563295787,0.0002861275303912679,0.5771192287991874,0.0028612753039126792,0.0054364230774340905,0.5774053563295787,0.0028612753039126792,0.008869953442129305
10028,0,1,0.62,0.0,0.013740001338050773,0.0002862500278760578,0.0,0.0002862500278760578,0.010877501059290196,0.010877501059290196,0.0005725000557521156,0.0,0.5773663062260085,0.0031487503066366354,0.5765075561423804,0.0028625002787605776,0.008587500836281733,0.5776525562538846,0.0028625002787605776,0.00887375086415779
